var,month,month_name,mean,q10,q90
T (°C),1,Jan,26.073192850505343,25.10009149890278,26.76860060908647
T (°C),2,Feb,27.385898408669696,26.675476051272597,28.182450416210816
T (°C),3,Mar,27.90379663118661,26.893764210030756,28.65707552290858
T (°C),4,Apr,27.404467679613916,26.739821504258824,28.23039191408258
T (°C),5,May,26.228585870520256,25.627356928396587,26.83534769940911
T (°C),6,Jun,24.751365232523185,24.373387366675523,25.10713349891889
T (°C),7,Jul,23.511625732448554,22.99139983796602,23.992863552547885
T (°C),8,Aug,23.162597119891544,22.788827977926186,23.618372443646585
T (°C),9,Sep,23.572782985785814,23.183931314441583,24.007060339152687
T (°C),10,Oct,24.59321594257579,23.96473829960227,25.099514572235133
T (°C),11,Nov,25.704933684106187,25.021742162138775,26.178911643081626
T (°C),12,Dec,25.873647386740554,25.31445644296459,26.40543689629883
RH (%),1,Jan,38.43438597683002,30.38771536958806,45.569712669535015
RH (%),2,Feb,40.79460409707463,30.036358270475922,50.323869817574334
RH (%),3,Mar,53.308042987703956,38.68417357502896,62.267429777711534
RH (%),4,Apr,66.7950876146651,61.49199870611152,70.70487154067266
RH (%),5,May,74.00750559782051,70.67554801922479,77.14010786167479
RH (%),6,Jun,78.4185092096559,77.15899587780412,80.45739094157442
RH (%),7,Jul,81.29991256427653,79.50424943070034,83.33452350246856
RH (%),8,Aug,82.9971694798457,81.71380867560472,84.3354164243215
RH (%),9,Sep,83.16550636162857,82.00787501455181,84.37874860731787
RH (%),10,Oct,78.20114816511933,75.61951305240704,80.61114867968541
RH (%),11,Nov,61.52274044978028,56.34572536202001,66.88781478809587
RH (%),12,Dec,46.467090758700344,42.01871192251214,53.044039327910404
P (mm/month),1,Jan,9.572479503964692,1.279052683440947,19.99742757778878
P (mm/month),2,Feb,19.586517529948438,2.633038371064285,42.96270031769817
P (mm/month),3,Mar,62.9617286250602,22.480020488991777,109.03554951209898
P (mm/month),4,Apr,99.79735726874928,65.02953518969117,128.87421538156303
P (mm/month),5,May,142.26959281881372,109.33734915409653,187.92310494366325
P (mm/month),6,Jun,158.8029002317287,134.92469372079552,183.31832150704787
P (mm/month),7,Jul,200.1512148047647,156.98384765006952,252.5704695381367
P (mm/month),8,Aug,235.11825683802437,191.26667537953523,272.1010565945634
P (mm/month),9,Sep,218.34121853528382,174.9190896508632,259.1890004279289
P (mm/month),10,Oct,116.49128244714947,85.10396000535182,152.06995342968918
P (mm/month),11,Nov,29.398652963796412,11.660287061160538,52.108823831271486
P (mm/month),12,Dec,13.705667946062253,3.178785608738777,32.847263431793785
