region,var,years_min,years_max,ann_min,ann_q25,ann_mean,ann_q75,ann_max,base_mean,recent_mean,delta_recent_minus_base
Centrale,P (mm/year),1980,2025,733.8205751352474,1393.975554726766,1520.1676738893993,1653.1946859454752,1837.3940661695317,1589.1386228107833,1363.3374371360499,-225.80118567473346
Centrale,RH (%),1980,2025,60.26737478632892,64.45543295905836,66.40345696701038,67.7989155694986,83.45779459364374,66.59574114200883,65.72329972789038,-0.8724414141184553
Centrale,T (°C),NA,NA,23.624376213719668,25.07372629420238,25.430680289537225,25.86677308687004,27.209973692429703,25.352024541600038,NA,NA
Kara,P (mm/year),1980,2025,506.16240099164224,1086.1718190111635,1172.6706580587474,1275.7858774842316,1484.174523451971,1214.9477548185455,1073.226917374901,-141.72083744364454
Kara,RH (%),1980,2025,55.04715637965548,57.748750387016884,59.49941601791073,60.6466953824636,77.70046308012678,59.37892969607693,59.48271700363379,0.10378730755685694
Kara,T (°C),NA,NA,24.018047380426022,25.42789946851122,25.768254536069747,26.035815304942474,27.81293136822831,25.702115487528726,NA,NA
Maritime,P (mm/year),1980,2025,595.226568160492,1074.1065457110453,1200.2094904072576,1354.1842035754114,1640.1849550900945,1231.5149658933015,1116.6888005353878,-114.82616535791362
Maritime,RH (%),1980,2025,71.35325217861782,73.51090998454191,74.91985609882332,75.5734962890827,89.62416636603952,74.79996323879378,75.00839805375145,0.2084348149576698
Maritime,T (°C),NA,NA,23.025627963033283,24.153073232702553,24.328103956645855,24.622085892950253,25.20159244367991,24.24988476481213,NA,NA
Plateaux,P (mm/year),1980,2025,679.0636832383916,1235.4923182733742,1403.4239434640224,1594.5274966364454,1747.4517347284627,1461.6731409869847,1267.1717943251585,-194.50134666182612
Plateaux,RH (%),1980,2025,68.2223178389267,72.06437296133275,73.74216255073875,74.87288959058469,89.38767279001546,73.94035352528984,73.10420164354449,-0.8361518817453515
Plateaux,T (°C),NA,NA,23.73867192442364,25.043401218179156,25.364961278112776,25.764217408884345,26.754840708632578,25.282372086440517,NA,NA
Savanes,P (mm/year),1980,2025,330.3950424426766,662.641747181761,737.6682483725328,827.5479078551612,992.2848090957714,739.1164229778844,721.5651195257761,-17.5513034521083
Savanes,RH (%),1980,2025,44.65051704540201,47.0465724905143,48.64504092511799,49.49788681385132,69.00187037272845,48.0556139031709,49.637116497369504,1.5815025941986036
Savanes,T (°C),NA,NA,24.49336573060929,26.00333834249636,26.28346032845134,26.43829567599387,28.42604242790364,26.230219015642547,NA,NA
